longitude,latitude,velocity
114.5,39.5,-150.5
114.55,39.52,-120.3
114.6,39.54,-85.7
114.65,39.56,-45.2
114.7,39.58,-25.8
114.75,39.6,-15.3
114.8,39.62,-8.5
114.85,39.64,0.0
114.9,39.66,5.2
114.95,39.68,12.8
115.0,39.7,25.3
115.05,39.72,45.6
115.1,39.74,85.2
115.15,39.76,120.5
115.2,39.78,180.3
115.25,39.8,250.8
114.52,39.6,-200.5
114.58,39.62,-180.2
114.62,39.64,-150.8
114.68,39.66,-100.3
114.72,39.68,-65.5
114.78,39.7,-35.2
114.82,39.72,-18.6
114.88,39.74,-5.3
114.92,39.76,8.5
114.98,39.78,22.1
115.02,39.8,45.6
115.08,39.82,88.3
115.12,39.84,150.2
115.18,39.86,220.5
